Label	Gene
412	E2F7
413	E2F8
414	E4F1
415	EAF2
416	EBF1
417	EBF2
418	EBF3
419	EBF4
420	EDA
421	EDA2R
422	EDF1
423	EDN1
424	EEA1
425	EED
426	EGLN1
427	EGR1
428	EGR2
429	EGR3
430	EGR4
431	EHF
432	EID1
433	EID2
434	EIF2AK2
435	EIF2AK4
436	EIF3C
437	EIF3CL
438	EIF3K
439	ELF1
440	ELF2
441	ELF3
442	ELF4
443	ELF5
444	ELK1
445	ELK3
446	ELK4
447	ELMSAN1
448	EME1
449	EMX1
450	EMX2
451	EN1
452	EN2
453	ENO1
454	EOMES
455	EP300
456	EP400
457	EPAS1
458	EPHA5
459	EPM2AIP1
460	ERBIN
461	ERC1
462	ERCC3
463	ERCC4
464	ERF
465	ERG
466	ESR1
467	ESR2
468	ESRRA
469	ESRRB
470	ESRRG
471	ESX1
472	ETS1
473	ETS2
474	ETV1
475	ETV2
476	ETV3
477	ETV3L
478	ETV4
479	ETV5
480	ETV6
481	ETV7
482	EVX1
483	EVX2
484	EWSR1
485	EXO1
486	EXOC2
487	EXOG
488	EZH1
489	EZH2
490	FAAP24
491	FAM153C
492	FAM170A
493	FAM171B
494	FAM200A
495	FAM200B
496	FAN1
497	FANCA
498	FANCD2
499	FANK1
500	FARSA
501	FARSB
502	FBN1
503	FBXL19
504	FBXO41
505	FEN1
506	FER
507	FERD3L
508	FEV
509	FEZF1
510	FEZF2
511	FGD1
512	FHL2
513	FIGLA
514	FIZ1
515	FLI1
516	FLNA
517	FLYWCH1
518	FMNL2
519	FOS
520	FOSB
521	FOSL1
522	FOSL2
523	FOXA1
524	FOXA2
525	FOXA3
526	FOXB1
527	FOXB2
528	FOXC1
529	FOXC2
530	FOXD1
531	FOXD2
532	FOXD3
533	FOXD4
534	FOXD4L1
535	FOXD4L2
536	FOXD4L3
537	FOXD4L4
538	FOXD4L5
539	FOXD4L6
540	FOXE1
541	FOXE3
542	FOXF1
543	FOXF2
544	FOXG1
545	FOXH1
546	FOXI1
547	FOXI2
548	FOXI3
549	FOXJ1
550	FOXJ2
551	FOXJ3
552	FOXK1
553	FOXK2
554	FOXL1
555	FOXL2
556	FOXM1
557	FOXN1
558	FOXN2
559	FOXN3
560	FOXN4
561	FOXO1
562	FOXO3
563	FOXO4
564	FOXO6
565	FOXP1
566	FOXP2
567	FOXP3
568	FOXP4
569	FOXQ1
570	FOXR1
571	FOXR2
572	FOXS1
573	FUBP1
574	FUBP3
575	FUS
576	FZD1
577	FZD2
578	FZD4
579	FZD6
580	GABPA
581	GABPB1
582	GABPB2
583	GADD45A
584	GAS6
585	GAS7
586	GATA1
587	GATA2
588	GATA3
589	GATA4
590	GATA5
591	GATA6
592	GATAD1
593	GATAD2A
594	GATAD2B
595	GBX1
596	GBX2
597	GCFC2
598	GCM1
599	GCM2
600	GEN1
601	GFI1
602	GFI1B
603	GLA
604	GLI1
605	GLI2
606	GLI3
607	GLI4
608	GLIS1
609	GLIS2
610	GLIS3
611	GLMP
612	GLYR1
613	GMEB1
614	GMEB2
615	GOLGB1
616	GON4L
617	GPATCH8
618	GPBP1
619	GPBP1L1
620	GPER1
621	GPR155
622	GREM1
623	GRHL1
624	GRHL2
625	GRHL3
626	GRM6
627	GSC
628	GSC2
629	GSX1
630	GSX2
631	GTF2A1
632	GTF2A1L
633	GTF2A2
634	GTF2B
635	GTF2E2
636	GTF2F1
637	GTF2F2
638	GTF2H1
639	GTF2H2
640	GTF2H2C
641	GTF2H3
642	GTF2H4
643	GTF2I
644	GTF2IRD1
645	GTF2IRD2
646	GTF2IRD2B
647	GTF3A
648	GTF3C1
649	GTF3C2
650	GULP1
651	GZF1
652	H1F0
653	H1FOO
654	H1FX
655	HAND1
656	HAND2
657	HAVCR2
658	HBP1
659	HCFC1
660	HCK
661	HDAC1
662	HDAC10
663	HDAC2
664	HDAC3
665	HDAC4
666	HDAC5
667	HDAC6
668	HDAC7
669	HDAC8
670	HDAC9
671	HDX
672	HELT
673	HELZ
674	HELZ2
675	HES1
676	HES2
677	HES3
678	HES4
679	HES5
680	HES6
681	HES7
682	HESX1
683	HEY1
684	HEY2
685	HEYL
686	HHEX
687	HIC1
688	HIC2
689	HIF1A
690	HIF3A
691	HINFP
692	HIPK2
693	HIRA
694	HIST1H1A
695	HIST1H1B
